"CustomerNo","fk_catalog_segment","sku_simple","id_catalog_simple","avg_size","prediction","simple_list","cluster_total","profiles"
1000596,2,"UN573SH82QQVINDFAS-2052791",2052791,27.8,"FALSE","2052792:0.59,2052793:0.51,2052791:0.48,2052794:0.40,2052790:0.40,2052789:0.39",1,1
1001171,2,"AN429SH88XKXINDFAS-3018491",3018491,26.7,"FALSE","3018495:0.60,3018493:0.51,3018491:0.43,3018487:0.40,3018489:0.40",1,1
10012397,2,"CL034SH74QZTINDFAS-2106308",2106308,25.7,"FALSE","2106309:0.61,2106308:0.58,2106310:0.52,2106307:0.44,2106311:0.37",2,1
10012535,2,"FI053SH30QPLINDFAS-2823943",2823943,27.31,"TRUE","2823943:0.57,2823945:0.54,2823941:0.49,2823939:0.41,2823937:0.39,2823935:0.37",1,1
10015089,2,"AL009SH49JAWINDFAS-2333059",2333059,26.26,"FALSE","2333060:0.58,2333059:0.51,2333061:0.47,2333063:0.40,2333062:0.39",1,1
10019529,1,"IN071SH49ULIINDFAS-1900233",1900233,22.7,"FALSE","1900234:0.57,1900235:0.54,1900233:0.48,1900236:0.44,1900238:0.38,1900237:0.38",1,1
1002027,1,"TE228SH90JYZINDFAS-2751173",2751173,25.1,"TRUE","2751173:0.67,2751175:0.62,2751171:0.61,2751177:0.58,2751169:0.54,2751167:0.45",12,3
1002027,1,"MB095SH87HXCINDFAS-1520940",1520940,25.55,"FALSE","1520939:0.69,1520940:0.60,1520938:0.58,1520941:0.50,1520937:0.46,1520936:0.37",12,3
10020297,1,"PI727SH64HLFINDFAS-3394031",3394031,24.8,"TRUE","3394031:0.57,3394033:0.53,3394029:0.47,3394035:0.43,3394027:0.40,3394025:0.39",1,1
10022647,1,"FI537SH90ORPINDFAS-3470671",3470671,24.3,"TRUE","3470671:0.75,3470673:0.63,3470669:0.62,3470675:0.53,3470667:0.52,3470677:0.42",4,1
1002390,1,"NE717SH58XNHINDFAS-2603089",2603089,26.2,"FALSE","2603087:0.35,2603085:0.35,2603089:0.30,2603083:0.30,2603081:0.24,2603079:0.21",13,5
10024197,1,"MI162SH54UEBINDFAS-2409031",2409031,26.2,"TRUE","2409031:0.50,2409029:0.42,2409027:0.36,2409023:0.33,2409025:0.33,2409021:0.33",2,2
10025877,1,"AD113SH56GFRINDFAS-2083771",2083771,24.96,"FALSE","2083770:0.53,2083769:0.52,2083771:0.44,2083768:0.44,2083772:0.36,2083773:0.28",3,2
10028335,2,"JE157SH14KFPINDFAS-2988385",2988385,28.7,"TRUE","2988385:0.67,2988383:0.56,2988393:0.46,2988391:0.37,2988389:0.33,2988387:0.33",2,1
1003059,1,"NE717SH42XNXINDFAS-2603185",2603185,26.2,"TRUE","2603185:0.72,2603183:0.61,2603181:0.52,2603179:0.40,2603177:0.28,2603175:0.18",14,3
1003059,1,"KI520SH80YXFINDFAS-3729335",3729335,25.55,"FALSE","3729337:0.72,3729335:0.61,3729333:0.52,3729331:0.40,3729329:0.28,3729327:0.18",14,3
1003059,1,"MI162SH34JDTINDFAS-3220539",3220539,25.55,"FALSE","3220541:0.72,3220539:0.61,3220549:0.52,3220547:0.40,3220545:0.28,3220543:0.18",14,3
10031179,1,"SC065SH60DRJINDFAS-3266281",3266281,27.1,"FALSE","3266279:0.59,3266277:0.49,3266281:0.47,3266271:0.39,3266275:0.39,3266273:0.38",1,1
10031845,1,"MY465SH30GHTINDFAS-3390819",3390819,23,"FALSE","3390821:0.60,3390819:0.52,3390823:0.50,3390829:0.40,3390825:0.40,3390827:0.40",1,1
1004790,1,"LA858SH64NFZINDFAS-3698343",3698343,22.7,"TRUE","3698345:0.56,3698343:0.56,3698347:0.46,3698349:0.40,3698353:0.38,3698351:0.38",1,1
1005228,2,"NI091SH18EWZINDFAS-2974525",2974525,28,"FALSE","2974523:0.33,2974527:0.31,2974529:0.30,2974525:0.30,2974519:0.29,2974521:0.27",5,5
10052565,2,"WA757SH71KYQINDFAS-1412685",1412685,26.3,"FALSE","1412687:0.44,1412686:0.42,1412685:0.40,1412688:0.39,1412684:0.35,1412683:0.29",5,3
1005598,1,"WE183SH32DRNINDFAS-1748227",1748227,23.55,"TRUE","1748227:0.57,1748226:0.50,1748228:0.47,1748229:0.38,1748230:0.31",3,2
10058975,2,"BU024SH40XRFINDFAS-3548997",3548997,26.9,"TRUE","3548997:0.49,3548995:0.46,3548999:0.44,3548993:0.39,3549001:0.37,3548991:0.33",2,2
10062187,1,"ZC657SH24VTFINDFAS-3013951",3013951,26.2,"FALSE","3013945:0.60,3013947:0.50,3013943:0.50,3013949:0.43,3013941:0.42,3013951:0.40",1,1
10063549,1,"SU068SH84PSPINDFAS-3704925",3704925,25.1,"FALSE","4043431:0.60,4043429:0.46,3704925:0.39,4043427:0.39,3704921:0.38,3704923:0.38",1,1
10070545,1,"AD004SH84HNVINDFAS-2628979",2628979,24.8,"TRUE","2628979:0.41,2628981:0.32,2628983:0.32,2628985:0.29,2628987:0.22",2,2
10079125,2,"RE105SH12ICDINDFAS-2631565",2631565,29,"FALSE","2631563:0.60,2631561:0.47,2631565:0.47,2631559:0.40,2631557:0.39,2631567:0.36",1,1
10090869,2,"RE104SH23PUEINDFAS-1941438",1941438,26.7,"TRUE","1941438:0.57,1941439:0.55,1941437:0.47,1941440:0.47,1941436:0.43,1941435:0.39",1,1
1009436,2,"UN573SH88MNVINDFAS-3583611",3583611,26.1,"FALSE","3583617:0.42,3583613:0.39,3583615:0.38,3583619:0.35,3583611:0.34,3583609:0.27",8,4
