id_catalog_category_has_catalog_segment	fk_catalog_category	fk_catalog_segment
63	2	1
3286	2	2
35	3	3
4665	6	3
4662	7	3
4658	9	3
4654	10	3
4650	11	3
4645	12	3
16	13	1
840	14	1
839	15	1
838	16	1
837	17	1
836	18	1
835	19	1
834	20	1
791	21	1
833	22	1
831	23	1
786	24	1
832	25	1
830	26	1
38	27	2
979	28	2
978	29	2
977	30	2
976	31	2
842	32	2
975	33	2
28	34	1
251	34	2
1641	34	3
34	35	3
1646	36	3
1645	37	3
843	38	1
801	39	1
794	40	1
793	41	1
795	42	1
800	43	1
799	44	1
798	45	1
797	46	1
796	47	1
829	48	2
810	49	2
803	50	2
809	51	2
808	52	2
807	53	2
806	54	2
805	55	2
804	56	2
841	207	1
974	208	2
973	209	2
71	244	1
72	244	2
73	244	3
67	245	2
70	246	2
69	247	2
68	248	2
64	249	1
65	250	1
66	251	1
74	252	2
75	253	1
79	260	2
988	261	2
83	264	2
987	270	2
95	271	1
96	272	1
97	273	1
179	303	2
180	304	2
181	305	2
225	307	1
226	307	2
227	307	3
220	310	1
221	310	2
980	310	3
223	311	2
224	312	1
792	365	1
802	374	2
248	375	1
255	382	1
256	382	2
273	395	2
332	452	1
333	452	2
334	452	3
335	453	3
336	454	3
337	455	3
338	456	3
339	457	3
340	458	3
341	459	3
342	460	3
343	461	3
344	462	3
345	463	3
346	464	3
347	465	3
348	466	3
349	467	3
350	468	3
351	469	3
352	470	3
353	471	3
354	472	3
355	473	3
356	474	3
357	475	3
358	476	3
359	477	3
360	478	3
361	479	3
362	480	3
363	481	3
364	482	3
365	483	3
366	484	3
367	485	3
368	486	3
369	487	3
370	488	3
371	489	3
372	490	3
373	491	3
374	492	3
375	493	3
376	494	3
377	495	3
378	496	3
379	497	3
380	498	3
381	499	3
382	500	3
383	501	3
384	502	3
385	503	3
386	504	3
387	505	3
388	506	3
389	507	3
390	508	3
391	509	3
392	510	3
393	511	3
394	512	3
395	513	3
396	514	3
397	515	3
398	516	3
399	517	3
400	518	3
401	519	3
402	520	3
403	521	3
404	522	3
405	523	3
406	524	3
407	525	3
408	526	3
409	527	3
410	528	3
411	529	3
412	530	3
413	531	3
414	532	3
415	533	3
416	534	3
417	535	3
418	536	3
419	537	3
420	538	3
421	539	3
422	540	3
423	541	3
424	542	2
425	543	2
426	544	2
427	545	2
428	546	2
429	547	2
430	548	2
431	549	2
432	550	2
433	551	2
434	552	2
435	553	2
436	554	2
437	555	2
438	556	2
439	557	2
440	558	2
441	559	2
442	560	2
443	561	2
444	562	2
445	563	2
446	564	2
447	565	2
448	566	2
449	567	2
450	568	2
451	569	2
452	570	2
453	571	2
454	572	2
455	573	2
456	574	2
457	575	2
458	576	2
459	577	2
460	578	2
461	579	2
462	580	2
463	581	2
464	582	2
