id_catalog_attribute_option_global_brick	name
1	2 Door Wardrobe
2	3 Door Wardrobe
1139	3/4TH SETS
3	3/4Ths
4	4 Door Wardrobe
5	A Shirts
1183	A-Line
6	Acne & Oil Control
7	Action Figures
8	Action Figures & Accessories
9	Action Games
10	Adapter
11	Adapter Set
12	After Shave
13	Air Freshener
14	Air Hockey Table
15	Air Hockey Table Accessories
16	Almirah
17	Analog & Digital Watch
18	Analog Watch
1199	Anarkali
19	Animal Soft Toys
20	Anklet
21	Anti Aging
22	Anti Rashes
23	Anti Tan & Safe Sun
24	Apron
25	Armlets
26	Artificial Flower
27	Artificial Nails
28	Artifilcial Lashes
29	Ash Tray
30	Asymmetric Dress
31	Audio Toys
32	Aviator
33	Baby Bed Sets
34	Baby Spoon
35	Baby Towels
36	Babydolls
37	Back Brushes
38	Backpack
39	Badminton Accessories
40	Badminton Bags
41	Badminton Grips
42	Badminton Kits
43	Badminton Nets
44	Badminton Rackets
45	Badminton Sets
46	Badminton Shoes
47	Badminton Strings
48	Badmitnton Shuttles
49	Bags
50	Bags & Accessories
51	Bakeware
52	Baking Dish
53	Balconette Bra
54	Ball Pen
55	Band
1262	Bandana
56	Bandanas
57	Bangle
58	Bar Accessories
59	Bar Set
60	Bar Stool
61	Barbeque/Griller
62	Base
63	Basics
64	Basket
65	Basketball Accessories
66	Basketball Backboard
67	Basketball Nets
68	Basketball Set
69	Basketball Shoes
70	Basketballs
71	Bassinet
72	Bath & Back Brushes
73	Bath Accessories
74	Bath Linen Sets
75	Bath Mats
76	Bath Robes
77	Bath Salt
78	Bath Sets
79	Bath Slippers
80	Bath Soak
81	Bath Towels
82	Battery Operated Vehicles
83	Beachwear
84	Bean Bags
85	Bed Covers
86	Bed Room Combo
87	Bed Runners
88	Bedding Sets
89	Bedsheets
90	Beer Glass
91	Bell
92	Belly Shoes
93	Belt
1159	BELTS
94	Bench
95	Benches
1148	BERMUDAS
96	Bib
97	Biker Jackets
98	Bikinis
99	Binocular
100	Blackout Curtains
101	Blankets
102	Blankets & Quilts
103	Blazers
104	Bleach
105	Blemishes & Dark Spots
106	Blenders
107	Blocks & Shapes
1175	Bloomers
108	Bluetooth Headsets
109	Blusher
110	Board Games
111	Boat Shoes
112	Body Lotion
113	Body Oil
114	Body Polishing
115	Body Scrub
116	Body Sponges
118	Bodycon Dress
117	Bodysuits
119	Bolster
120	Bolster Covers
121	Bomber Jackets
122	Book Case
123	Book Holder
124	Book-End
125	Boot Cut Jeans
126	Boots
127	Bottle Holder
128	Bottle Opener
1207	BOTTOM & DUPATTA SETS
129	Bottom And Dupatta
1205	Bottoms
130	Bouncers, Swings & Play Gyms
131	Bow Ties
133	Bow-Tie
132	Bowls
134	Boxers
135	Boxing Focus Pads
136	Boxing Gloves
137	Boxing Punch Mitts
138	Boxing Punching Bags
139	Boxing Set
140	Boys Collectibles
141	Boyshorts
142	Bracelet
143	Bras
144	Bread Basket
145	Briefcase
146	Briefs
147	Brooch
148	Brush
149	Brushes & Combs
150	Buffet
1231	Bump Band
151	Bunk Beds
152	Cabinet
153	Camisoles
154	Camping Furniture
155	Candle Stand
156	Candles
157	Canister
1155	CAPRI SETS
158	Capris
159	Caps
1195	Caps & Hats
160	Car Seat
161	Cardigans
1177	Cargo Pants
162	Cargos
163	Carpets
164	Carrier Oil
165	Carrom Board
1242	Cartoon Maker
166	Cartridge
167	Case
168	Cases And Pouches
169	Casserole
1141	CASUAL DRESSES & FROCKS
170	Casual Jackets
171	Casual Shirt
172	Casual Shirts
1152	CASUAL SNEAKERS
1140	CASUAL TOPS
173	Casual Trousers
174	Cateyes
175	Cd Cabinet
176	Cd Holder
177	Cd Rack
178	Ceiling Lamp
179	Centre Table
180	Chain
181	Chains
182	Chair
183	Chair Pad
184	Chairs
185	Champagne Glass
186	Chandelier
187	Character Soft Toys
188	Chargers
189	Chessboards
190	Chest Of Drawer
191	Children Books
1163	Chill Wrap
192	Chinos
193	Choker
194	Choker Sets
195	Choppers & Slicers
196	Chopping Board
197	Chronograph
198	Chronograph Watch
1252	Churidar
199	Churidar Kameez Dupatta
200	Churidars
201	Cleaning Cream
202	Cleaning Gel
203	Cleaning Spray
204	Cleansers
205	Clocks
206	Cloth Stand
207	Club Wear Shirts
208	Club Wear Trousers
209	Clutch
210	Clutcher
211	Clutcher& Clippers
212	Coaster
213	Coasters & Trivets
214	Coat Hanger
215	Cocktail Glass
216	Cocktail Ring
217	Coffee Brewer
218	Coffee Maker
219	Coffee Mugs
220	Coffee Table
221	Coin
222	Colander
223	Cologne
224	Color Renovating Spray
225	Colored Hair Care
1179	Coloured Pants
226	Combo
1156	COMBO SETS
227	Comfort Fit Jeans
228	Comforter Sets
229	Comforters
230	Compact Mirror
231	Compact Powder
232	Compass
1249	Compression T Shirts
233	Computer Table
234	Concealer & Corrector
235	Conditioner
236	Conditioning Lotion
237	Console
238	Console Table
239	Cooktop
240	Cookware
241	Cookware Set
242	Corduroy
243	Corduroy Jackets
244	Corduroy Trousers
245	Corner Sofa
246	Corsets
247	Covers & Cases
248	Crash Mat
249	Cream
250	Crew Neck T Shirts
251	Crib
252	Cricket
253	Cricket Accessories
254	Cricket Bags
255	Cricket Balls
256	Cricket Bats
257	Cricket Gloves
258	Cricket Goggles
259	Cricket Grips
260	Cricket Guards
261	Cricket Helmets
262	Cricket Net
263	Cricket Pads
264	Cricket Sets
265	Cricket Tapes
266	Crockery Cabinet
267	Cruet Set
268	Cufflinks
269	Cup & Saucer
270	Curtain Rods
271	Curtain Tie Back
272	Curtains
273	Cushion Covers
274	Cushion-Curtains Set
275	Cushioning Pad
276	Cushioning Socks
277	Cushioning Strap
278	Cushions
279	Cushions Regular
280	Cutlery Holder
281	Cutlery Set
282	Cycling Accessories
283	Cycling Cleaning & Care
284	Cycling Gloves
285	Cycling Helmets
286	Cycling Horn
287	Cycling Lights
288	Daily Maintance
289	Daily Maitanence
290	Daily Regimens
291	Damaged & Rough Hair
292	Dandruff
293	Danglers & Drop
294	Dart
295	Dartboards
296	Darts
297	Day Bed
298	Day Cream
307	De-Pigmentation
299	Decorative Bowl
300	Decorative Tile
301	Decorative Tray
302	Decoratives
303	Demi-Cup Bra
304	Denim Jackets
305	Denim Shirts
306	Deodorant
308	Desk Frame
309	Desk Organisers
310	Dessert Set
311	Dhoti Pant
312	Dhoti Suits
313	Dhotis
314	Diaries
315	Dice
316	Diffuser
317	Digital Watch
318	Dining Chair
319	Dining Sets - 2 Seater
320	Dining Sets - 4 Seater
321	Dining Sets - 6 Seater
322	Dining Table - 4 Seater
323	Dining Table - 6 Seater
324	Dining Table - 8 Seater
325	Dinner Forks
326	Dinner Knives
